Symbol,Name,Sector,Proportion of women in board,Proportion of women in upper management,Proportion of women in medium management,Proportion of women in lower management,Score
MMM,3M Company,Industrials,0.3838620760620061,0.15242989455519435,0.012686274315127588,0.01883494194391644,0.5025566219913808
AOS,A.O. Smith Corp,Industrials,0.06894201511288534,0.4574080105201626,0.9790611238703196,0.8686476305333688,1.1392524735721696
ABT,Abbott Laboratories,Health Care,0.253830711988569,1.2552138849080443,0.32374822425810945,0.28776222034790155,1.3806832096576254
ABBV,AbbVie Inc.,Health Care,1.4494638112089715,0.8666875717004099,0.3969615848141188,0.5054761233073972,2.4062687407985375
ABMD,ABIOMED Inc,Health Care,0.8599824830622634,0.30991586424916984,0.2295758912912252,0.3277655645731661,1.2900412030542447
ACN,Accenture plc,Information Technology,1.7558472768387603,0.13262336059141608,0.30926089564720793,1.3520386065905228,2.408925659053512
ATVI,Activision Blizzard,Communication Services,0.3963216363301443,0.5092469076286261,0.3290769452734068,0.506407831794105,1.0692552938451174
ADBE,Adobe Inc.,Information Technology,0.12416469826224832,0.0628148216347088,0.029685389628030717,0.15934362059398344,0.23078085439875487
AAP,Advance Auto Parts,Consumer Discretionary,0.657812458909271,0.6533793653490942,0.8252996932252812,0.5174307351189499,1.6830570818019626
AMD,Advanced Micro Devices Inc,Information Technology,1.9132484043323092,0.7689264782003777,0.4660609962705767,0.27801104381660924,2.767930750352845
AES,AES Corp,Utilities,0.384777657871024,0.2773621872414764,0.3788960697095694,0.5199272512275394,0.924357399163104
AFL,AFLAC Inc,Financials,0.11825504856084228,0.718750596439921,0.03178850994453945,0.2185355422979506,0.7028353837304419
A,Agilent Technologies Inc,Health Care,0.00625383658500156,0.4166773758441481,0.3085345668072396,0.6626770001413178,0.6509983831219204
APD,Air Products & Chemicals Inc,Materials,1.2335307548613343,0.4916991428121893,0.6286747315835339,0.2809001027447374,1.9763275514450551
AKAM,Akamai Technologies Inc,Information Technology,0.1983362996834737,0.011758865538799526,0.5781172403704157,1.1165628495648066,0.8305949806152831
ALK,Alaska Air Group Inc,Industrials,0.002826414506779784,0.3359473171077527,0.9068024862404463,0.7190507337142268,0.9071059997166979
ALB,Albemarle Corp,Materials,0.7279144101176569,0.10958576103336487,0.5316044653411462,0.9712584750605628,1.3618042180297543
ARE,Alexandria Real Estate Equities,Real Estate,0.6047959606285549,0.3771935329207735,0.4601244196934188,0.30358048378134483,1.1899677886542093
ALXN,Alexion Pharmaceuticals,Health Care,0.010492070028507605,1.128410721503378,0.23662523078529474,0.8946175396571753,1.1870774523706722
ALGN,Align Technology,Health Care,0.909160269226098,0.2341843229534827,0.8335260153425916,1.005171600318315,1.7914037830603264
ALLE,Allegion,Industrials,0.2821899155851421,1.1911585896836931,1.261750857533119,0.9686706589671434,2.03747755482043
LNT,Alliant Energy Corp,Utilities,0.4783971209101418,0.3245100755711023,0.401461598244626,0.5623956152836793,1.0750036575173303
ALL,Allstate Corp,Financials,0.3344427745812661,0.20422638369892493,0.10450181444055036,0.22331119354983547,0.5966455084557394
GOOGL,Alphabet Inc. (Class A),Communication Services,0.6036570870696254,0.4674054676030713,0.5174064513059111,0.32370835724645075,1.286656647218666
GOOG,Alphabet Inc. (Class C),Communication Services,0.35356826540775604,0.3089874531657436,0.3300196482413554,0.4218232993730085,0.8614162965563568
MO,Altria Group Inc,Consumer Staples,0.3486509215498133,0.5811786352283597,0.3024474172279411,0.4151293577092217,1.031238482136402
AMZN,Amazon.com Inc.,Consumer Discretionary,0.17960392983409273,0.6264449744522839,0.4690481146822168,0.17895078886547816,0.9063247059514432
AMCR,Amcor plc,Materials,0.6453786503493193,0.9775527914891275,1.3993849922458053,0.06596322360487789,2.0491470675960746
AEE,Ameren Corp,Utilities,0.40858813720848375,0.204042770386547,0.39100736198828057,0.2546502681554588,0.8233168379198446
AAL,American Airlines Group,Industrials,0.4626275996084836,0.4694463042313413,0.5434837124228977,0.7008372294210239,1.2732330376081784
AEP,American Electric Power,Utilities,0.31996588434974993,0.2644411712822761,0.072924425796179,0.3276826538953445,0.639841713314036
AXP,American Express Co,Financials,0.055162447078265585,0.12887551289167648,0.6181301817569458,0.11452697481976193,0.48879848942684057
AIG,American International Group,Financials,0.34060759390643186,0.935851551306868,0.5944070468475955,0.12813792474969002,1.3313485806699443
AMT,American Tower Corp.,Real Estate,0.5783723725605299,0.4670444135740437,0.4692763983006213,0.2792031442365285,1.2237026044836297
